"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARATFIN","EQ","11-Nov-2016","        741.30","        723.85","        731.80","        686.45","        695.50","        690.95","        707.99","    2823783","          1999207030.70","      64340","    1350757","         47.84"
"BHARATFIN","EQ","15-Nov-2016","        690.95","        690.00","        690.00","        591.00","        635.00","        633.30","        619.72","    6596106","          4087740915.40","     137741","    2261073","         34.28"
"BHARATFIN","EQ","16-Nov-2016","        633.30","        647.70","        714.00","        645.85","        684.05","        686.60","        682.86","    6327904","          4321083451.30","     111932","    2084278","         32.94"
"BHARATFIN","EQ","17-Nov-2016","        686.60","        689.00","        701.70","        675.65","        693.00","        691.05","        686.25","    2223010","          1525543450.15","      39804","     494158","         22.23"
"BHARATFIN","EQ","18-Nov-2016","        691.05","        688.00","        716.65","        665.75","        697.00","        695.10","        691.66","    3151596","          2179843256.40","      63148","     738347","         23.43"
"BHARATFIN","EQ","21-Nov-2016","        695.10","        702.60","        702.80","        662.25","        675.00","        674.75","        677.21","    3549839","          2404002941.45","      63081","    1499642","         42.25"
"BHARATFIN","EQ","22-Nov-2016","        674.75","        684.00","        695.00","        677.10","        692.00","        690.10","        686.48","    1888326","          1296306734.85","      62110","     635750","         33.67"
"BHARATFIN","EQ","23-Nov-2016","        690.10","        700.00","        719.15","        687.10","        713.00","        715.40","        705.86","    2354215","          1661755424.05","      50143","     760278","         32.29"
"BHARATFIN","EQ","24-Nov-2016","        715.40","        706.00","        709.15","        679.35","        687.00","        684.45","        690.18","    2641403","          1823056344.25","      68581","    1086915","         41.15"
"BHARATFIN","EQ","25-Nov-2016","        684.45","        689.00","        703.95","        672.25","        698.90","        699.35","        688.61","    3152806","          2171051176.25","     103490","    1253715","         39.77"
"BHARATFIN","EQ","28-Nov-2016","        699.35","        691.35","        708.80","        677.15","        684.05","        681.45","        693.07","    1719044","          1191416648.35","      38189","     499100","         29.03"
"BHARATFIN","EQ","29-Nov-2016","        681.45","        693.40","        738.45","        692.00","        734.40","        733.00","        725.88","    4423944","          3211253455.55","      92487","     922970","         20.86"
"BHARATFIN","EQ","30-Nov-2016","        733.00","        737.00","        755.00","        734.00","        739.80","        739.50","        745.44","    3458260","          2577931807.90","      60519","    1222460","         35.35"
"BHARATFIN","EQ","01-Dec-2016","        739.50","        745.00","        756.00","        732.20","        745.60","        744.75","        744.63","    1871001","          1393208841.70","      54215","     582295","         31.12"
"BHARATFIN","EQ","02-Dec-2016","        744.75","        735.75","        737.00","        688.80","        699.95","        697.70","        707.90","    2916947","          2064893677.35","      70889","     830038","         28.46"
"BHARATFIN","EQ","05-Dec-2016","        697.70","        703.45","        712.45","        691.20","        707.90","        707.60","        704.74","    1689888","          1190923730.20","      41824","     445246","         26.35"
"BHARATFIN","EQ","06-Dec-2016","        707.60","        709.00","        726.00","        708.25","        718.20","        716.50","        721.35","    1418836","          1023473327.10","      50665","     400447","         28.22"
"BHARATFIN","EQ","07-Dec-2016","        716.50","        717.50","        723.15","        700.05","        708.40","        705.15","        710.41","    1421616","          1009928733.00","      36303","     384926","         27.08"
"BHARATFIN","EQ","08-Dec-2016","        705.15","        713.00","        730.00","        710.10","        721.95","        720.80","        721.94","    1523945","          1100200910.60","      31270","     493676","         32.39"
"BHARATFIN","EQ","09-Dec-2016","        720.80","        725.60","        725.60","        709.50","        715.15","        714.35","        714.37","    1106229","           790257513.95","      40562","     420429","         38.01"
"BHARATFIN","EQ","12-Dec-2016","        714.35","        715.25","        717.40","        682.00","        692.90","        692.25","        698.07","    1899849","          1326235607.85","      58301","     786822","         41.41"
"BHARATFIN","EQ","13-Dec-2016","        692.25","        690.30","        691.00","        669.00","        678.00","        676.95","        677.80","    2510624","          1701693551.25","      44824","     947289","         37.73"
"BHARATFIN","EQ","14-Dec-2016","        676.95","        680.00","        685.40","        651.20","        654.00","        653.30","        663.23","    2078271","          1378375954.10","      43768","     680494","         32.74"
"BHARATFIN","EQ","15-Dec-2016","        653.30","        645.00","        669.70","        631.90","        661.60","        659.85","        659.98","    2797830","          1846523155.80","      58539","     879032","         31.42"
"BHARATFIN","EQ","16-Dec-2016","        659.85","        665.90","        666.00","        636.00","        639.00","        641.25","        647.20","    1983639","          1283806346.50","      49667","     759958","         38.31"
"BHARATFIN","EQ","19-Dec-2016","        641.25","        640.00","        641.30","        599.00","        602.00","        603.20","        617.83","    3051574","          1885366335.20","      64803","     934644","         30.63"
"BHARATFIN","EQ","20-Dec-2016","        603.20","        598.00","        604.75","        550.00","        586.00","        580.50","        577.27","   14137106","          8160888034.70","     201227","    3560342","         25.18"
"BHARATFIN","EQ","21-Dec-2016","        580.50","        586.00","        596.15","        574.20","        577.65","        578.90","        583.49","    6206914","          3621656978.25","      81267","    1746924","         28.14"
"BHARATFIN","EQ","22-Dec-2016","        578.90","        572.05","        574.95","        552.00","        552.70","        554.20","        559.66","    5006936","          2802160122.80","      71807","    1482002","         29.60"
"BHARATFIN","EQ","23-Dec-2016","        554.20","        551.00","        552.70","        516.15","        521.90","        519.80","        530.80","   10954663","          5814754676.80","     179634","    2388652","         21.80"
"BHARATFIN","EQ","26-Dec-2016","        519.80","        519.05","        519.65","        472.00","        474.00","        480.15","        498.05","    8143972","          4056103206.95","     109532","    1931379","         23.72"
"BHARATFIN","EQ","27-Dec-2016","        480.15","        475.05","        524.90","        465.10","        519.50","        519.40","        498.99","   15223374","          7596356070.45","     203050","    1901048","         12.49"
"BHARATFIN","EQ","28-Dec-2016","        519.40","        534.90","        579.60","        531.00","        579.60","        573.35","        560.09","   18081904","         10127549670.30","     231810","    2298866","         12.71"
"BHARATFIN","EQ","29-Dec-2016","        573.35","        577.50","        602.40","        568.20","        598.00","        597.50","        585.60","   13550218","          7935044975.60","     216196","    1507950","         11.13"
"BHARATFIN","EQ","30-Dec-2016","        597.50","        603.00","        618.50","        583.15","        589.15","        587.90","        603.44","   11334389","          6839648268.15","     153479","    1428079","         12.60"
"BHARATFIN","EQ","02-Jan-2017","        587.90","        597.00","        607.25","        589.15","        604.00","        602.25","        600.27","    5526043","          3317096253.90","      87683","     476255","          8.62"
